Jahr;BFS_Gemeindenummer;Gemeinde;Zimmerzahl;ANZAHL
2016;2761;Aesch (BL);1;1
2016;2761;Aesch (BL);2;8
2016;2761;Aesch (BL);3;17
2016;2761;Aesch (BL);4;14
2016;2761;Aesch (BL);5;4
2016;2762;Allschwil;1;3
2016;2762;Allschwil;2;95
2016;2762;Allschwil;3;173
2016;2762;Allschwil;4;112
2016;2762;Allschwil;5;20
2016;2762;Allschwil;6;1
2016;2763;Arlesheim;2;7
2016;2763;Arlesheim;3;57
2016;2763;Arlesheim;4;33
2016;2763;Arlesheim;5;2
2016;2764;Biel-Benken;2;7
2016;2764;Biel-Benken;3;6
2016;2764;Biel-Benken;4;2
2016;2765;Binningen;2;39
2016;2765;Binningen;3;115
2016;2765;Binningen;4;107
2016;2765;Binningen;5;10
2016;2766;Birsfelden;2;55
2016;2766;Birsfelden;3;461
2016;2766;Birsfelden;4;320
2016;2767;Bottmingen;2;7
2016;2767;Bottmingen;3;29
2016;2767;Bottmingen;4;26
2016;2767;Bottmingen;6;4
2016;2767;Bottmingen;7;6
2016;2767;Bottmingen;8;9
2016;2768;Ettingen;3;3
2016;2768;Ettingen;4;18
2016;2768;Ettingen;5;3
2016;2769;Münchenstein;1;3
2016;2769;Münchenstein;2;10
2016;2769;Münchenstein;3;83
2016;2769;Münchenstein;4;90
2016;2769;Münchenstein;5;5
2016;2770;Muttenz;1;5
2016;2770;Muttenz;2;26
2016;2770;Muttenz;3;232
2016;2770;Muttenz;4;252
2016;2770;Muttenz;5;65
2016;2770;Muttenz;6;10
2016;2770;Muttenz;7;3
2016;2770;Muttenz;8;3
2016;2770;Muttenz;9;2
2016;2771;Oberwil (BL);1;6
2016;2771;Oberwil (BL);2;57
2016;2771;Oberwil (BL);3;54
2016;2771;Oberwil (BL);4;46
2016;2771;Oberwil (BL);5;15
2016;2771;Oberwil (BL);6;1
2016;2773;Reinach (BL);2;2
2016;2773;Reinach (BL);3;94
2016;2773;Reinach (BL);4;97
2016;2775;Therwil;2;3
2016;2775;Therwil;3;6
2016;2775;Therwil;4;3
2016;2787;Laufen;1;1
2016;2787;Laufen;2;7
2016;2787;Laufen;3;10
2016;2787;Laufen;4;30
2016;2787;Laufen;5;25
2016;2787;Laufen;6;2
2016;2792;Wahlen;2;6
2016;2792;Wahlen;3;4
2016;2792;Wahlen;4;6
2016;2792;Wahlen;5;2
2016;2793;Zwingen;1;1
2016;2793;Zwingen;2;15
2016;2793;Zwingen;3;7
2016;2793;Zwingen;4;2
2016;2824;Frenkendorf;3;12
2016;2824;Frenkendorf;4;22
2016;2824;Frenkendorf;5;11
2016;2828;Lausen;1;8
2016;2828;Lausen;2;16
2016;2828;Lausen;3;6
2016;2828;Lausen;4;20
2016;2828;Lausen;5;2
2016;2829;Liestal;3;7
2016;2829;Liestal;4;60
2016;2829;Liestal;5;2
2016;2831;Pratteln;1;27
2016;2831;Pratteln;2;65
2016;2831;Pratteln;3;156
2016;2831;Pratteln;4;119
2016;2831;Pratteln;5;5
2016;2831;Pratteln;6;1
2016;2842;Böckten;2;6
2016;2842;Böckten;3;9
2016;2842;Böckten;4;9
2016;2846;Gelterkinden;2;3
2016;2846;Gelterkinden;3;3
2016;2846;Gelterkinden;4;3
2016;2849;Itingen;2;5
2016;2849;Itingen;3;7
2016;2853;Maisprach;2;1
2016;2853;Maisprach;3;3
2016;2853;Maisprach;4;2
2016;2856;Ormalingen;2;6
2016;2856;Ormalingen;3;16
2016;2856;Ormalingen;4;12
2016;2856;Ormalingen;5;4
2016;2857;Rickenbach (BL);1;2
2016;2857;Rickenbach (BL);2;4
2016;2857;Rickenbach (BL);3;4
2016;2861;Sissach;4;6
2016;2861;Sissach;5;6
2016;2862;Tecknau;4;9
2016;2862;Tecknau;5;3
2016;2882;Bennwil;3;3
2016;2882;Bennwil;4;6
2016;2886;Hölstein;2;1
2016;2886;Hölstein;3;6
2016;2886;Hölstein;4;50
2016;2886;Hölstein;5;7
2016;2888;Langenbruck;2;2
2016;2888;Langenbruck;3;6
2016;2888;Langenbruck;4;8
2016;2891;Niederdorf;1;3
2016;2891;Niederdorf;2;4
2016;2891;Niederdorf;3;21
2016;2891;Niederdorf;4;28
2017;2761;Aesch (BL);1;1
2017;2761;Aesch (BL);2;8
2017;2761;Aesch (BL);3;17
2017;2761;Aesch (BL);4;14
2017;2761;Aesch (BL);5;4
2017;2762;Allschwil;1;3
2017;2762;Allschwil;2;95
2017;2762;Allschwil;3;173
2017;2762;Allschwil;4;112
2017;2762;Allschwil;5;20
2017;2762;Allschwil;6;1
2017;2763;Arlesheim;2;7
2017;2763;Arlesheim;3;57
2017;2763;Arlesheim;4;33
2017;2763;Arlesheim;5;2
2017;2764;Biel-Benken;2;7
2017;2764;Biel-Benken;3;6
2017;2764;Biel-Benken;4;2
2017;2765;Binningen;2;40
2017;2765;Binningen;3;113
2017;2765;Binningen;4;108
2017;2765;Binningen;5;10
2017;2766;Birsfelden;2;55
2017;2766;Birsfelden;3;461
2017;2766;Birsfelden;4;320
2017;2767;Bottmingen;2;7
2017;2767;Bottmingen;3;29
2017;2767;Bottmingen;4;26
2017;2767;Bottmingen;6;4
2017;2767;Bottmingen;7;6
2017;2767;Bottmingen;8;9
2017;2768;Ettingen;3;3
2017;2768;Ettingen;4;18
2017;2768;Ettingen;5;3
2017;2769;Münchenstein;1;3
2017;2769;Münchenstein;2;10
2017;2769;Münchenstein;3;83
2017;2769;Münchenstein;4;90
2017;2769;Münchenstein;5;5
2017;2770;Muttenz;1;5
2017;2770;Muttenz;2;26
2017;2770;Muttenz;3;232
2017;2770;Muttenz;4;252
2017;2770;Muttenz;5;65
2017;2770;Muttenz;6;10
2017;2770;Muttenz;7;3
2017;2770;Muttenz;8;3
2017;2770;Muttenz;9;2
2017;2771;Oberwil (BL);1;6
2017;2771;Oberwil (BL);2;57
2017;2771;Oberwil (BL);3;54
2017;2771;Oberwil (BL);4;46
2017;2771;Oberwil (BL);5;15
2017;2771;Oberwil (BL);6;1
2017;2773;Reinach (BL);2;2
2017;2773;Reinach (BL);3;94
2017;2773;Reinach (BL);4;97
2017;2775;Therwil;2;3
2017;2775;Therwil;3;6
2017;2775;Therwil;4;3
2017;2787;Laufen;1;1
2017;2787;Laufen;2;7
2017;2787;Laufen;3;10
2017;2787;Laufen;4;30
2017;2787;Laufen;5;25
2017;2787;Laufen;6;2
2017;2792;Wahlen;2;6
2017;2792;Wahlen;3;4
2017;2792;Wahlen;4;6
2017;2792;Wahlen;5;2
2017;2793;Zwingen;1;1
2017;2793;Zwingen;2;15
2017;2793;Zwingen;3;7
2017;2793;Zwingen;4;2
